Gender,Age,Geography,Financial_Situation,How_long_have_lived_in_reported_state_of_residence
Female,Over 45 years old,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,Rural,"I can afford food, but nothing else",Over 1-2 years
Female,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Rural,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Rural,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Not Available,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",6 months- 1 year
Male,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,Prefer not to answer,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,City center or metropolitan area,"I can afford food, but nothing else",6 months- 1 year
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,Not Available,Rural,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,1-6 months
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Rural,"I can afford food, but nothing else",More than 2 years
Female,26 to 35 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Female,26 to 35 years old,Rural,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Male,Not Available,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Male,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Female,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Over 1-2 years
Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",6 months- 1 year
Female,Not Available,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",6 months- 1 year
Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Over 1-2 years
Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",6 months- 1 year
Female,Over 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Female,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,Not Available,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,6 months- 1 year
Male,26 to 35 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,Rural,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Under 18,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,26 to 35 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Prefer not to answer,26 to 35 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,Prefer not to answer,More than 2 years
Female,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Not Available,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,6 months- 1 year
Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,Not Available,Rural,I cannot afford enough food for my family,1-6 months
Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,Not Available,City center or metropolitan area,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,1-6 months
Female,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,Not Available,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Prefer not to answer,18 to 25 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Not Available,Rural,I cannot afford enough food for my family,More than 2 years
Male,Not Available,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,Rural,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,36 to 45 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,Under 18,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Rural,"I can afford food, but nothing else",More than 2 years
Female,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Over 1-2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Less than one month
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,26 to 35 years old,Rural,I cannot afford enough food for my family,More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Over 1-2 years
Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Prefer not to answer,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",1-6 months
Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",6 months- 1 year
Male,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,Over 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Male,Not Available,City center or metropolitan area,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",More than 2 years
Female,18 to 25 years old,Rural,"I can afford food, but nothing else",More than 2 years
Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,6 months- 1 year
Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,Not Available,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Female,Under 18,Rural,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Female,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,Suburban/Peri-urban,Prefer not to answer,More than 2 years
Female,Not Available,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Male,18 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,36 to 45 years old,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,36 to 45 years old,Rural,"I can afford food, but nothing else",More than 2 years
Female,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,Rural,I cannot afford enough food for my family,6 months- 1 year
Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,Prefer not to answer,More than 2 years
Female,18 to 25 years old,Rural,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,City center or metropolitan area,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",More than 2 years
Male,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",6 months- 1 year
Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,Not Available,City center or metropolitan area,"I can afford food, but nothing else",1-6 months
Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",Over 1-2 years
Female,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,Not Available,Rural,I cannot afford enough food for my family,More than 2 years
Male,Over 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",More than 2 years
Female,Not Available,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Prefer not to answer,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",1-6 months
Female,Not Available,Rural,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",Less than one month
Male,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,Under 18,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,Rural,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",More than 2 years
Male,18 to 25 years old,Rural,I cannot afford enough food for my family,More than 2 years
Male,Not Available,Rural,"I can afford food, but nothing else",More than 2 years
Female,Not Available,Rural,"I can afford food, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,Under 18,Rural,I cannot afford enough food for my family,More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Under 18,Suburban/Peri-urban,Prefer not to answer,6 months- 1 year
Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,Not Available,Rural,"I can afford food, but nothing else",More than 2 years
Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Less than one month
Male,26 to 35 years old,Rural,Prefer not to answer,More than 2 years
Male,Over 45 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, and I have savings",More than 2 years
Female,Not Available,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,Rural,Prefer not to answer,More than 2 years
Female,Not Available,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,36 to 45 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Over 1-2 years
Male,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Over 1-2 years
Female,36 to 45 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
Male,18 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",Over 1-2 years
Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Prefer not to answer,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",More than 2 years
Male,Under 18,Rural,Prefer not to answer,More than 2 years
Male,26 to 35 years old,Suburban/Peri-urban,Prefer not to answer,6 months- 1 year
Male,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Prefer not to answer,Not Available,Suburban/Peri-urban,"I can afford food, but nothing else",Less than one month
Male,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Rural,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Rural,I cannot afford enough food for my family,More than 2 years
Male,Not Available,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Over 1-2 years
Female,18 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Female,Not Available,Rural,"I can afford food, but nothing else",More than 2 years
Male,Not Available,Rural,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",More than 2 years
Male,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings",More than 2 years
Male,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,18 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",More than 2 years
Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,More than 2 years
Male,18 to 25 years old,City center or metropolitan area,Prefer not to answer,More than 2 years
